intent,question,answer
travel_aboard,What Documents Do you Need when Traveling to Another Country?,"The travel and health documents required for your trip can vary based on your itinerary and personal situation. This is why it is important to prepare in advance and use tools such as the IATA Travel Centre to get personalized travel advice. The IATA immigration specialists consistently update this information, but rules and regulations change on a daily basis. Nonetheless, you can be certain that these documents will be useful for any trip: Passport, Travel Visa and National ID Card, COVID-19 Travel Documents, Travel Itinerary Details, Medical and Travel Insurance Proof"
travel_aboard,What documents need to be prepared to go abroad?,"The travel and health documents required for your trip can vary based on your itinerary and personal situation. This is why it is important to prepare in advance and use tools such as the IATA Travel Centre to get personalized travel advice. The IATA immigration specialists consistently update this information, but rules and regulations change on a daily basis. Nonetheless, you can be certain that these documents will be useful for any trip: Passport, Travel Visa and National ID Card, COVID-19 Travel Documents, Travel Itinerary Details, Medical and Travel Insurance Proof"
travel_aboard,Are there any documents required to travel abroad?,"The travel and health documents required for your trip can vary based on your itinerary and personal situation. This is why it is important to prepare in advance and use tools such as the IATA Travel Centre to get personalized travel advice. The IATA immigration specialists consistently update this information, but rules and regulations change on a daily basis. Nonetheless, you can be certain that these documents will be useful for any trip: Passport, Travel Visa and National ID Card, COVID-19 Travel Documents, Travel Itinerary Details, Medical and Travel Insurance Proof"
travel_aboard,What kind of documents need to be prepared to travel abroad?,"The travel and health documents required for your trip can vary based on your itinerary and personal situation. This is why it is important to prepare in advance and use tools such as the IATA Travel Centre to get personalized travel advice. The IATA immigration specialists consistently update this information, but rules and regulations change on a daily basis. Nonetheless, you can be certain that these documents will be useful for any trip: Passport, Travel Visa and National ID Card, COVID-19 Travel Documents, Travel Itinerary Details, Medical and Travel Insurance Proof"
travel_voucher,About Travel Voucher ?,"You can read information About Travel Voucher on this link, https://bit.ly/AboutTravelVoucher"
travel_voucher,What is a Travel Voucher?,"You can read information About Travel Voucher on this link, https://bit.ly/AboutTravelVoucher"
travel_voucher,What is a Voucher for Travel?,"You can read information About Travel Voucher on this link, https://bit.ly/AboutTravelVoucher"
travel_voucher,When Can I Use My Travel Voucher?,"You can read information About Travel Voucher on this link, https://bit.ly/AboutTravelVoucher"
travel_voucher,When will I be able to use my travel voucher?,"You can read information About Travel Voucher on this link, https://bit.ly/AboutTravelVoucher"
greeting,Hi,Hi! Hi! How can I help?
greeting,Hi there,Hi! Hi! How can I help?
greeting,Hola,Hi! Hi! How can I help?
greeting,Hello there,Hi! Hi! How can I help?
greeting,Hello,Hello! Hi! How can I help?
greeting,Hai,Hello! Hi! How can I help?
greeting,Hai there,Hello! Hi! How can I help?
greeting_response,My user is Adam,Great! Hi! How can I help?
greeting_response,This is Adam,"Good! Hi, how can I help you?"
greeting_response,I am Adam,"Cool! Hello, what can I do for you?"
greeting_response,My user is Bella,"OK! Hola, how can I help you?"
greeting_response,This is Bella,"OK! hi, what can I do for you?"
greeting_response,I am Bella,"OK! hi, what can I do for you?"
greeting_response,It is Bella,"OK! hi, what can I do for you?"
courtesy_greeting,How are you?,"Hello, I am great, how are you?"
courtesy_greeting,Hi how are you?,"Hello, I am great, how are you?"
courtesy_greeting,Hello how are you?,"Hello, I am great, how are you?"
courtesy_greeting,Hola how are you?,"Hello, I am great, how are you?"
courtesy_greeting,How are you doing?,"Hello, I am great, how are you?"
courtesy_greeting,Hope you are doing well?,"Hello, I am great, how are you?"
courtesy_greeting,Hello hope you are doing well?,"Hello, I am great, how are you?"
thanks,OK thank you,Happy to help!
thanks,OK thanks,Happy to help!
thanks,OK,Happy to help!
thanks,Thanks,Happy to help!
thanks,Thank you,Happy to help!
thanks,That's helpful,Happy to help!
goodbye,Bye,Have a nice day
goodbye,Adios,Have a nice day
goodbye,See you later,Have a nice day
goodbye,Goodbye,Have a nice day
attractions_Surabaya,can you tell me the recommendations of tourist attractions in Surabaya,To find out the recommended places in Surabaya You can visit https://binged.it/3Qlwzqv
attractions_Surabaya,what are the tourist attractions in Surabaya?,To find out the recommended places in Surabaya You can visit https://binged.it/3Qlwzqv
attractions_Surabaya,Could you tell me the recomendations place in Surabaya?,To find out the recommended places in Surabaya You can visit https://binged.it/3Qlwzqv
attractions_Surabaya,What is the tourist attraction in Surabaya?,To find out the recommended places in Surabaya You can visit https://binged.it/3Qlwzqv
attractions_Bali,can you tell me the recommendations of tourist attractions in Bali,To find out the recommended places in Bali You can visit https://binged.it/3mR24uU
attractions_Bali,what are the tourist attractions in Bali?,To find out the recommended places in Bali You can visit https://binged.it/3mR24uU
attractions_Bali,Could you tell me the recomendations place in Bali?,To find out the recommended places in Bali You can visit https://binged.it/3mR24uU
attractions_Bali,What is the tourist attraction in Bali?,To find out the recommended places in Bali You can visit https://binged.it/3mR24uU
attractions_Yogyakarta,can you tell me the recommendations of tourist attractions in Yogyakarta?,To find out the recommended places in Yogyakarta You can visit https://binged.it/3MXr3aU
attractions_Yogyakarta,what are the tourist attractions in Yogyakarta?,To find out the recommended places in Yogyakarta You can visit https://binged.it/3MXr3aU
attractions_Yogyakarta,Could you tell me the recomendations place in Yogyakarta?,To find out the recommended places in Yogyakarta You can visit https://binged.it/3MXr3aU
attractions_Yogyakarta,What is the tourist attraction in Yogyakarta?,To find out the recommended places in Yogyakarta You can visit https://binged.it/3MXr3aU
attractions_Palembang,can you tell me the recommendations of tourist attractions in Palembang?,To find out the recommended places in Palembang You can visit https://binged.it/3xQJolD
attractions_Palembang,what are the tourist attractions in Palembang?,To find out the recommended places in Palembang You can visit https://binged.it/3xQJolD
attractions_Palembang,Could you tell me the recomendations place in Palembang?,To find out the recommended places in Palembang You can visit https://binged.it/3xQJolD
attractions_Palembang,What is the tourist attraction in Palembang?,To find out the recommended places in Palembang You can visit https://binged.it/3xQJolD
attractions_Medan,can you tell me the recommendations of tourist attractions in Medan?,To find out the recommended places in Medan You can visit https://binged.it/3MNU5cU
attractions_Medan,what are the tourist attractions in Medan?,To find out the recommended places in Medan You can visit https://binged.it/3MNU5cU
attractions_Medan,Could you tell me the recomendations place in Medan?,To find out the recommended places in Medan You can visit https://binged.it/3MNU5cU
attractions_Medan,What is the tourist attraction in Medan?,To find out the recommended places in Medan You can visit https://binged.it/3MNU5cU
